"","year","quarter","GEOID","N_housing"
"676",2014,1,"06075030202",1
"677",2014,1,"06075061000",5
"678",2014,1,"06075011200",3
"679",2014,1,"06075016700",1
"680",2014,1,"06075042700",3
"681",2014,1,"06075031301",1
"682",2014,1,"06075016802",1
"683",2014,1,"06075012800",1
"684",2014,1,"06075026004",1
"685",2014,1,"06075020401",1
"686",2014,1,"06075016300",1
"687",2014,1,"06075030301",1
"688",2014,1,"06075017700",1
"689",2014,1,"06075025401",1
"690",2014,1,"06075026002",1
"691",2014,1,"06075025100",1
"692",2014,1,"06075023001",1
"693",2014,1,"06075031302",1
"694",2014,1,"06075023103",2
"695",2014,1,"06075023003",1
"696",2014,1,"06075026401",1
"697",2014,1,"06075016900",1
"698",2014,1,"06075047701",2
"699",2014,1,"06075018000",1
"700",2014,1,"06075023400",1
"701",2014,1,"06075017601",1
"702",2014,1,"06075023200",1
"703",2014,1,"06075012901",1
"704",2014,1,"06075017102",2
"705",2014,1,"06075022803",1
"706",2014,1,"06075015801",1
"707",2014,1,"06075061500",1
"708",2014,1,"06075022901",1
"709",2014,1,"06075031400",1
"710",2014,1,"06075026001",1
"711",2014,1,"06075013000",1
"712",2015,4,"06075016200",1
"713",2015,4,"06075022901",1
"714",2015,4,"06075047701",1
"715",2015,4,"06075035300",2
"716",2015,4,"06075033000",2
"717",2015,4,"06075061500",4
"718",2015,4,"06075040200",1
"719",2015,4,"06075017601",2
"720",2015,4,"06075033203",13
"721",2015,4,"06075016900",1
"722",2015,4,"06075017101",1
"723",2015,4,"06075013300",1
"724",2015,4,"06075025300",2
"725",2015,4,"06075040100",2
"726",2015,4,"06075047902",2
"727",2015,4,"06075026003",1
"728",2015,4,"06075013200",2
"729",2015,4,"06075045100",1
"730",2015,4,"06075980900",1
"731",2015,4,"06075060700",3
"732",2015,4,"06075061200",1
"733",2015,4,"06075980600",2
"734",2015,4,"06075031201",1
"735",2015,4,"06075016300",1
"736",2015,4,"06075012800",1
"737",2015,4,"06075020800",1
"738",2015,4,"06075042601",1
"739",2015,4,"06075031100",1
"740",2015,4,"06075021200",1
"741",2015,4,"06075017000",1
"742",2015,4,"06075013400",2
"743",2015,4,"06075015400",1
"744",2015,4,"06075023200",2
"745",2015,4,"06075021800",1
"746",2015,4,"06075026100",1
"747",2015,4,"06075022902",1
"748",2015,4,"06075031400",4
"749",2015,4,"06075026200",1
"750",2015,4,"06075030201",1
"751",2015,4,"06075035100",4
"752",2015,4,"06075025702",2
"753",2015,4,"06075020900",1
"754",2015,4,"06075026303",1
"755",2015,4,"06075010100",1
"756",2015,4,"06075045200",1
"757",2015,4,"06075021100",1
"758",2015,4,"06075030400",1
"759",2015,4,"06075021600",1
"760",2015,4,"06075022704",1
